,0,1,2,3,4,5,6,7,8
0,METABOLITES_START,,,,,,,,
1,metabolite_name,RT [min],m/z meas.,M meas.,Ions,MS/MS,Molecular Formula,Annotations,AQ
2,"1,3-Dimethyluric acid",7.24,197.06706,196.05978,[M+H]+,TRUE,C7H8N4O3,Analyte List - Metabolite,2120
3,1-Methyladenosine,3.68,282.12012,281.11285,[M+H]+,TRUE,C11H15N5O4,Analyte List - Metabolite,2110
4,"2,5-Furandicarboxylic acid",1.59,157.01736,156.01009,[M+H]+,TRUE,C6H4O5,Analyte List - Metabolite,1120
5,2-Pyrrolidinone,19.35,86.06019,85.05291,[M+H]+,TRUE,C4H7NO,Analyte List - Metabolite,2120
6,"3,4,5-Trimethoxycinnamic acid",9.58,239.09153,238.08426,"[M+H]+, [M-H2O+H]+",TRUE,C12H14O5,Analyte List - Metabolite,2120
7,"3,5-Dimethoxyphenol",9.65,155.07039,154.06312,[M+H]+,TRUE,C8H10O3,Analyte List - Metabolite,2120
8,3-Indolepropionic acid,11.48,190.08648,189.07921,[M+H]+,TRUE,C11H11NO2,Analyte List - Metabolite,2110
9,3-Methylindole,7.39,132.08088,131.0736,[M+H]+,TRUE,C9H9N,Analyte List - Metabolite,2120
10,3-Methylxanthine,6.39,167.05632,166.04904,[M+H]+,TRUE,C6H6N4O2,Analyte List - Metabolite,2120
11,4-Aminophenol,7.33,110.06001,109.05273,[M+H]+,TRUE,C6H7NO,Analyte List - Metabolite,2120
12,5-Hydroxy-L-tryptophan,6.78,221.0921,220.08482,[M+H]+,TRUE,C11H12N2O3,Analyte List - Metabolite,2110
13,5-Hydroxyindoleacetic acid,6.52,192.06563,191.05842,"[M+H]+, [M-H2O+H]+",TRUE,C10H9NO3,Analyte List - Metabolite,2120
14,9-Methyluric acid,6.4,183.0514,182.04412,[M+H]+,TRUE,C6H6N4O3,Analyte List - Metabolite,2120
15,Acetaminophen,7.33,152.07062,151.06337,"[M+H]+, [M+Na]+",TRUE,C8H9NO2,Analyte List - Metabolite,2120
16,Acetaminophen glucuronide,6.51,328.10331,327.09436,"[M+H]+, [M+K]+",TRUE,C14H17NO8,Analyte List - Metabolite,2120
17,Acetic acid,1.55,61.0288,60.02152,[M+H]+,TRUE,C2H4O2,Analyte List - Metabolite,2020
18,Acetone,22.13,59.04922,58.04194,[M+H]+,TRUE,C3H6O,Analyte List - Metabolite,2020
19,Adenosine monophosphate,3.51,348.071,347.06372,[M+H]+,TRUE,C10H14N5O7P,Analyte List - Metabolite,2110
20,Allantoin,1.56,159.05029,158.04301,[M+H]+,TRUE,C4H6N4O3,Analyte List - Metabolite,2000
21,Alpha-ketoisovaleric acid,7.39,117.05733,116.05005,[M+H]+,TRUE,C5H8O3,Analyte List - Metabolite,1100
22,Alpha-N-phenylacetyl-L-glutamine,8.44,265.11847,264.11125,"[M+H]+, [M-H2O+H]+",TRUE,C13H16N2O4,Analyte List - Metabolite,2120
23,Aniline,6.54,94.0653,93.05802,[M+H]+,TRUE,C6H7N,Analyte List - Metabolite,2120
24,Aspartame,7.84,295.12904,294.12176,[M+H]+,TRUE,C14H18N2O5,Analyte List - Metabolite,2120
25,Azelaic acid,18.53,189.11234,188.10506,[M+H]+,TRUE,C9H16O4,Analyte List - Metabolite,2120
26,Benzaldehyde,6.57,107.04905,106.04177,[M+H]+,TRUE,C7H6O,Analyte List - Metabolite,2020
27,Benzocaine,7.84,166.08641,165.07913,[M+H]+,TRUE,C9H11NO2,Analyte List - Metabolite,2100
28,Benzoic acid,4.51,123.04403,122.03675,[M+H]+,TRUE,C7H6O2,Analyte List - Metabolite,2120
29,Cadaverine,18.54,103.12306,102.11579,[M+H]+,TRUE,C5H14N2,Analyte List - Metabolite,2120
30,Caffeine,8.13,195.08772,194.08063,"[M+H]+, [M+Na]+",TRUE,C8H10N4O2,Analyte List - Metabolite,2110
31,Chlorpheniramine,16,275.13445,274.12718,[M+H]+,TRUE,C16H19ClN2,Analyte List - Metabolite,1100
32,Cinnamic acid,6.57,149.05973,148.05246,[M+H]+,TRUE,C9H8O2,Analyte List - Metabolite,2120
33,Cis-Aconitic acid,1.58,175.02724,174.01997,[M+H]+,TRUE,C6H6O6,Analyte List - Metabolite,1100
34,Cortisol,11.16,363.21765,362.21037,[M+H]+,TRUE,C21H30O5,Analyte List - Metabolite,2110
35,Creatine,2.77,114.06626,131.06948,"[M-H2O+H]+, [M+H]+",TRUE,C4H9N3O2,Analyte List - Metabolite,2100
36,Cytosine,3.47,112.05063,111.04336,[M+H]+,TRUE,C4H5N3O,Analyte List - Metabolite,2110
37,Deoxycholic acid glycine conjugate,13.5,450.32297,449.31553,"[M+H]+, [M+Na]+",TRUE,C26H43NO5,Analyte List - Metabolite,2120
38,DL-2-aminooctanoic acid,8.24,160.13346,159.12618,[M+H]+,TRUE,C8H17NO2,Analyte List - Metabolite,2120
39,Elaidic acid,19.39,283.26357,282.25615,"[M+H]+, [M-H2O+H]+",TRUE,C18H34O2,Analyte List - Metabolite,2010
40,Ethanolamine,15.3,62.06015,61.05287,[M+H]+,TRUE,C2H7NO,Analyte List - Metabolite,2100
41,Glucosamine,6.9,180.08806,179.08079,[M+H]+,TRUE,C6H13NO5,Analyte List - Metabolite,2110
42,Glycerophosphocholine,3.15,258.11031,257.10303,[M+H]+,TRUE,C8H20NO6P,Analyte List - Metabolite,2110
43,Glycine,3.37,76.03937,75.03209,[M+H]+,TRUE,C2H5NO2,Analyte List - Metabolite,2120
44,Glycocholic acid,12.13,466.31826,465.31087,"[M+H]+, [M-H2O+H]+",TRUE,C26H43NO6,Analyte List - Metabolite,2110
45,Guanidine,1.54,60.05282,59.04554,[M+H]+,TRUE,CH5N3,Analyte List - Metabolite,1000
46,Hippuric acid,8.53,202.04765,179.05846,"[M+Na]+, [M+H]+",TRUE,C9H9NO3,Analyte List - Metabolite,2110
47,Homoveratric acid,11.16,197.08095,196.07367,[M+H]+,TRUE,C10H12O4,Analyte List - Metabolite,2110
48,Hypoxanthine,6.19,137.0457,136.03843,[M+H]+,TRUE,C5H4N4O,Analyte List - Metabolite,2120
49,Indole,7.39,118.06509,117.05781,[M+H]+,TRUE,C8H7N,Analyte List - Metabolite,2120
50,Indoleacetic acid,10.62,176.07078,175.0635,[M+H]+,TRUE,C10H9NO2,Analyte List - Metabolite,2120
51,Indolelactic acid,9.83,206.08139,205.07411,[M+H]+,TRUE,C11H11NO3,Analyte List - Metabolite,2120
52,Inosinic acid,3.66,349.05551,348.04823,[M+H]+,TRUE,C10H13N4O8P,Analyte List - Metabolite,2100
53,Isobutyric acid,11.81,89.05981,88.05254,[M+H]+,TRUE,C4H8O2,Analyte List - Metabolite,2120
54,Isovalerylcarnitine,7.78,246.17011,245.16283,[M+H]+,TRUE,C12H23NO4,Analyte List - Metabolite,2120
55,Kynurenic acid,8.03,190.05023,189.04296,[M+H]+,TRUE,C10H7NO3,Analyte List - Metabolite,2020
56,L-Acetylcarnitine,3.43,204.12318,203.1159,[M+H]+,TRUE,C9H17NO4,Analyte List - Metabolite,2120
57,L-Arginine,1.71,175.11881,174.11154,[M+H]+,TRUE,C6H14N4O2,Analyte List - Metabolite,2110
58,L-Carnitine,2.7,162.11254,161.10526,[M+H]+,TRUE,C7H15NO3,Analyte List - Metabolite,2120
59,L-Glutamine,8.44,129.06587,146.06925,"[M-H2O+H]+, [M+H]+",TRUE,C5H10N2O3,Analyte List - Metabolite,2100
60,L-Histidine,1.67,156.07694,155.06966,[M+H]+,TRUE,C6H9N3O2,Analyte List - Metabolite,2100
61,L-Kynurenine,6.52,209.09224,208.08497,[M+H]+,TRUE,C10H12N2O3,Analyte List - Metabolite,2120
62,L-Methionine,3.48,150.05842,149.05114,[M+H]+,TRUE,C5H11NO2S,Analyte List - Metabolite,2110
63,L-Norleucine,4.49,132.10193,131.09466,[M+H]+,TRUE,C6H13NO2,Analyte List - Metabolite,2120
64,L-Phenylalanine,6.56,166.08624,165.07896,[M+H]+,TRUE,C9H11NO2,Analyte List - Metabolite,2110
